% # iter+eval+sigma+axisratio+fbestever+fitness+fmedian+fworst+mindii+idxmaxSD+maxSD+idxminSD+minSD (randomSeed=3, Fri Sep 21 16:35:21 2018)
17	2176	5.7392e+00	5.11e+00	2.964866007822466e+01	2.964866007822466e+01	3.122047527254316e+01	4.371748685879215e+01	1.4999e-03	4	3.7592e-03	2	2.4237e-03
18	2304	5.3632e+00	4.19e+00	2.962871316639967e+01	2.962871316639967e+01	3.029077721334916e+01	3.328853829820938e+01	1.0697e-03	3	2.4195e-03	2	1.7630e-03
19	2432	4.9785e+00	3.90e+00	2.961425466627805e+01	2.961425466627805e+01	2.982237000122449e+01	3.073628808032067e+01	7.4624e-04	3	1.8026e-03	2	1.2194e-03
20	2560	4.8614e+00	4.52e+00	2.960815898814549e+01	2.960815898814549e+01	2.968090723350347e+01	3.012837028408646e+01	4.7184e-04	3	1.2485e-03	2	8.6411e-04
21	2688	4.3964e+00	5.13e+00	2.960735725397359e+01	2.960735725397359e+01	2.963876402570461e+01	2.989643115169493e+01	2.9780e-04	1	7.2506e-04	4	5.2792e-04
22	2816	4.4214e+00	3.96e+00	2.960475309729833e+01	2.960475309729833e+01	2.961505213965977e+01	2.965389485409786e+01	2.1851e-04	3	5.7270e-04	4	3.2041e-04
23	2944	4.1213e+00	4.78e+00	2.960419748547798e+01	2.960419748547798e+01	2.960855877047914e+01	2.963557682217422e+01	1.4429e-04	3	3.6790e-04	4	1.7791e-04
24	3072	3.7901e+00	5.21e+00	2.960398651277877e+01	2.960398651277877e+01	2.960568522916198e+01	2.961215271658100e+01	8.4796e-05	3	2.1146e-04	4	1.0470e-04
25	3200	3.7026e+00	4.85e+00	2.960393692699081e+01	2.960393692699081e+01	2.960433431723065e+01	2.960569425713913e+01	5.1865e-05	3	1.1928e-04	4	5.8546e-05
26	3328	3.3747e+00	4.81e+00	2.960389173099587e+01	2.960389173099587e+01	2.960404573863487e+01	2.960455537220290e+01	3.0560e-05	1	6.7453e-05	4	3.3712e-05
27	3456	2.9919e+00	4.96e+00	2.960388739333593e+01	2.960388739333593e+01	2.960392790330610e+01	2.960406134413993e+01	1.6729e-05	3	4.2378e-05	4	2.0237e-05
28	3584	2.6805e+00	5.02e+00	2.960388428226562e+01	2.960388428226562e+01	2.960389708328309e+01	2.960392543488849e+01	1.0256e-05	3	2.5385e-05	4	1.2441e-05
29	3712	2.6394e+00	4.95e+00	2.960388403671358e+01	2.960388403671358e+01	2.960388792494353e+01	2.960389825500869e+01	6.2835e-06	3	1.4012e-05	4	8.3293e-06
30	3840	2.6657e+00	4.64e+00	2.960388402073021e+01	2.960388402073021e+01	2.960388520350205e+01	2.960388959668185e+01	3.7964e-06	3	8.4525e-06	4	4.4910e-06
31	3968	2.3734e+00	3.79e+00	2.960388402073021e+01	2.960388403942359e+01	2.960388442700202e+01	2.960388575738507e+01	2.6295e-06	3	5.5176e-06	4	2.5403e-06
32	4096	2.3859e+00	3.99e+00	2.960388397534011e+01	2.960388397534011e+01	2.960388410674004e+01	2.960388455614073e+01	1.6470e-06	3	3.8468e-06	4	1.6068e-06
33	4224	2.5221e+00	5.65e+00	2.960388396344535e+01	2.960388396344535e+01	2.960388401265236e+01	2.960388419196822e+01	8.3208e-07	3	2.3990e-06	4	8.9793e-07
34	4352	2.5028e+00	6.75e+00	2.960388396274594e+01	2.960388396274594e+01	2.960388398201096e+01	2.960388404913220e+01	4.8843e-07	1	1.3282e-06	4	5.0303e-07
35	4480	2.6138e+00	5.72e+00	2.960388396242875e+01	2.960388396242875e+01	2.960388396905346e+01	2.960388399862042e+01	2.8488e-07	1	7.3943e-07	4	3.2307e-07
