# Wed Apr  3 10:42:34 2019

# input dimensionality
5

# covariance function
CovSum(CovSEiso, CovNoise)

# log-hyperparameter
0.1295303991 -3.698674232 -7.704806838 

# data (target value in first column)
0.027516 0.5 0.329609 0.333333 0.666667 1
0.02835 0.5 0.329609 0.333333 0 1
0.02811 0.5 0.329609 0.333333 1 1
0.027751 0.5 0.329609 0.333333 0.333333 1
0.028231 1 0.553073 0.666667 0.666667 1
0.026444 1 0.553073 0.666667 0 1
0.030015 1 0.553073 0.666667 1 1
0.027394 1 0.553073 0.666667 0.333333 1
0.027294 1 0.553073 1 0.666667 1
0.024767 1 0.553073 1 0 1
0.030357 1 0.553073 1 1 1
0.02571 1 0.553073 1 0.333333 1
0.034782 1 0.553073 0 0.666667 1
0.034425 1 0.553073 0 0 1
0.035733 1 0.553073 0 1 1
0.03454 1 0.553073 0 0.333333 1
0.030613 1 0.553073 0.333333 0.666667 1
0.02978 1 0.553073 0.333333 0 1
0.031802 1 0.553073 0.333333 1 1
0.030133 1 0.553073 0.333333 0.333333 1
0.028469 1 0.776536 0.666667 0.666667 1
0.026802 1 0.776536 0.666667 0 1
0.030134 1 0.776536 0.666667 1 1
0.027513 1 0.776536 0.666667 0.333333 1
0.027548 1 0.776536 1 0.666667 1
0.024917 1 0.776536 1 0 1
0.030754 1 0.776536 1 1 1
0.025777 1 0.776536 1 0.333333 1
0.034782 1 0.776536 0 0.666667 1
0.03514 1 0.776536 0 0 1
0.035613 1 0.776536 0 1 1
0.034897 1 0.776536 0 0.333333 1
0.030732 1 0.776536 0.333333 0.666667 1
0.02978 1 0.776536 0.333333 0 1
0.031921 1 0.776536 0.333333 1 1
0.030371 1 0.776536 0.333333 0.333333 1
0.028469 1 1 0.666667 0.666667 1
0.027159 1 1 0.666667 0 1
0.030254 1 1 0.666667 1 1
0.027513 1 1 0.666667 0.333333 1
0.02769 1 1 1 0.666667 1
0.02474 1 1 1 0 1
0.030892 1 1 1 1 1
0.025972 1 1 1 0.333333 1
0.035021 1 1 0 0.666667 1
0.035021 1 1 0 0 1
0.035733 1 1 0 1 1
0.034659 1 1 0 0.333333 1
0.030851 1 1 0.333333 0.666667 1
0.030137 1 1 0.333333 0 1
0.031921 1 1 0.333333 1 1
0.03061 1 1 0.333333 0.333333 1
0.027516 1 0.106145 0.666667 0.666667 1
0.025491 1 0.106145 0.666667 0 1
0.029301 1 0.106145 0.666667 1 1
0.02656 1 0.106145 0.666667 0.333333 1
0.026494 1 0.106145 1 0.666667 1
0.023705 1 0.106145 1 0 1
0.029351 1 0.106145 1 1 1
0.024838 1 0.106145 1 0.333333 1
0.034306 1 0.106145 0 0.666667 1
0.033592 1 0.106145 0 0 1
0.035256 1 0.106145 0 1 1
0.033349 1 0.106145 0 0.333333 1
0.030137 1 0.106145 0.333333 0.666667 1
0.029184 1 0.106145 0.333333 0 1
0.031445 1 0.106145 0.333333 1 1
0.029418 1 0.106145 0.333333 0.333333 1
0.027993 1 0.329609 0.666667 0.666667 1
0.026564 1 0.329609 0.666667 0 1
0.029777 1 0.329609 0.666667 1 1
0.027156 1 0.329609 0.666667 0.333333 1
0.027038 1 0.329609 1 0.666667 1
0.024401 1 0.329609 1 0 1
0.029876 1 0.329609 1 1 1
0.025622 1 0.329609 1 0.333333 1
0.034544 1 0.329609 0 0.666667 1
0.034187 1 0.329609 0 0 1
0.035494 1 0.329609 0 1 1
0.034421 1 0.329609 0 0.333333 1
0.030494 1 0.329609 0.333333 0.666667 1
0.029422 1 0.329609 0.333333 0 1
0.031683 1 0.329609 0.333333 1 1
0.030014 1 0.329609 0.333333 0.333333 1
0.034181 0 0.553073 0.666667 0.666667 0
0.028404 0 0.553073 0.666667 0 0
0.038426 0 0.553073 0.666667 1 0
0.030964 0 0.553073 0.666667 0.333333 0
0.034033 0 0.553073 1 0.666667 0
0.027414 0 0.553073 1 0 0
0.039173 0 0.553073 1 1 0
0.030447 0 0.553073 1 0.333333 0
0.038349 0 0.553073 0 0.666667 0
0.034427 0 0.553073 0 0 0
0.04097 0 0.553073 0 1 0
0.03537 0 0.553073 0 0.333333 0
0.035491 0 0.553073 0.333333 0.666667 0
0.030615 0 0.553073 0.333333 0 0
0.039095 0 0.553073 0.333333 1 0
0.032512 0 0.553073 0.333333 0.333333 0
0.0343 0 0.776536 0.666667 0.666667 0
0.02863 0 0.776536 0.666667 0 0
0.038687 0 0.776536 0.666667 1 0
0.031083 0 0.776536 0.666667 0.333333 0
0.034442 0 0.776536 1 0.666667 0
0.027686 0 0.776536 1 0 0
0.039341 0 0.776536 1 1 0
0.030451 0 0.776536 1 0.333333 0
0.03823 0 0.776536 0 0.666667 0
0.03395 0 0.776536 0 0 0
0.041176 0 0.776536 0 1 0
0.035727 0 0.776536 0 0.333333 0
0.035491 0 0.776536 0.333333 0.666667 0
0.030734 0 0.776536 0.333333 0 0
0.03913 0 0.776536 0.333333 1 0
0.032631 0 0.776536 0.333333 0.333333 0
0.034419 0 1 0.666667 0.666667 0
0.02874 0 1 0.666667 0 0
0.03887 0 1 0.666667 1 0
0.031083 0 1 0.666667 0.333333 0
0.034539 0 1 1 0.666667 0
0.027677 0 1 1 0 0
0.039634 0 1 1 1 0
0.030582 0 1 1 0.333333 0
0.038468 0 1 0 0.666667 0
0.035023 0 1 0 0 0
0.041135 0 1 0 1 0
0.035966 0 1 0 0.333333 0
0.035491 0 1 0.333333 0.666667 0
0.030972 0 1 0.333333 0 0
0.039064 0 1 0.333333 1 0
0.032869 0 1 0.333333 0.333333 0
0.033823 0 0.106145 0.666667 0.666667 0
0.027769 0 0.106145 0.666667 0 0
0.037966 0 0.106145 0.666667 1 0
0.030606 0 0.106145 0.666667 0.333333 0
0.033386 0 0.106145 1 0.666667 0
0.026692 0 0.106145 1 0 0
0.03797 0 0.106145 1 1 0
0.029743 0 0.106145 1 0.333333 0
0.037992 0 0.106145 0 0.666667 0
0.032878 0 0.106145 0 0 0
0.040548 0 0.106145 0 1 0
0.035608 0 0.106145 0 0.333333 0
0.035014 0 0.106145 0.333333 0.666667 0
0.029186 0 0.106145 0.333333 0 0
0.038631 0 0.106145 0.333333 1 0
0.032155 0 0.106145 0.333333 0.333333 0
0.034062 0 0.329609 0.666667 0.666667 0
0.02836 0 0.329609 0.666667 0 0
0.038386 0 0.329609 0.666667 1 0
0.030845 0 0.329609 0.666667 0.333333 0
0.033774 0 0.329609 1 0.666667 0
0.027236 0 0.329609 1 0 0
0.038728 0 0.329609 1 1 0
0.030143 0 0.329609 1 0.333333 0
0.03823 0 0.329609 0 0.666667 0
0.03407 0 0.329609 0 0 0
0.04094 0 0.329609 0 1 0
0.035846 0 0.329609 0 0.333333 0
0.035372 0 0.329609 0.333333 0.666667 0
0.030615 0 0.329609 0.333333 0 0
0.038778 0 0.329609 0.333333 1 0
0.032393 0 0.329609 0.333333 0.333333 0
0.035848 0.5 0.553073 0.666667 0.666667 0
0.030664 0.5 0.553073 0.666667 0 0
0.039594 0.5 0.553073 0.666667 1 0
0.032988 0.5 0.553073 0.666667 0.333333 0
0.035096 0.5 0.553073 1 0.666667 0
0.029268 0.5 0.553073 1 0 0
0.039549 0.5 0.553073 1 1 0
0.031885 0.5 0.553073 1 0.333333 0
0.04085 0.5 0.553073 0 0.666667 0
0.037167 0.5 0.553073 0 0 0
0.043357 0.5 0.553073 0 1 0
0.038466 0.5 0.553073 0 0.333333 0
0.037634 0.5 0.553073 0.333333 0.666667 0
0.033236 0.5 0.553073 0.333333 0 0
0.040758 0.5 0.553073 0.333333 1 0
0.035013 0.5 0.553073 0.333333 0.333333 0
0.035967 0.5 0.776536 0.666667 0.666667 0
0.030785 0.5 0.776536 0.666667 0 0
0.039865 0.5 0.776536 0.666667 1 0
0.032988 0.5 0.776536 0.666667 0.333333 0
0.035389 0.5 0.776536 1 0.666667 0
0.029439 0.5 0.776536 1 0 0
0.039872 0.5 0.776536 1 1 0
0.031895 0.5 0.776536 1 0.333333 0
0.04085 0.5 0.776536 0 0.666667 0
0.036929 0.5 0.776536 0 0 0
0.043401 0.5 0.776536 0 1 0
0.038586 0.5 0.776536 0 0.333333 0
0.037754 0.5 0.776536 0.333333 0.666667 0
0.033236 0.5 0.776536 0.333333 0 0
0.040807 0.5 0.776536 0.333333 1 0
0.035132 0.5 0.776536 0.333333 0.333333 0
0.036086 0.5 1 0.666667 0.666667 0
0.030915 0.5 1 0.666667 0 0
0.040002 0.5 1 0.666667 1 0
0.033107 0.5 1 0.666667 0.333333 0
0.035643 0.5 1 1 0.666667 0
0.029574 0.5 1 1 0 0
0.040251 0.5 1 1 1 0
0.032017 0.5 1 1 0.333333 0
0.040969 0.5 1 0 0.666667 0
0.037167 0.5 1 0 0 0
0.043393 0.5 1 0 1 0
0.038705 0.5 1 0 0.333333 0
0.037754 0.5 1 0.333333 0.666667 0
0.033355 0.5 1 0.333333 0 0
0.040953 0.5 1 0.333333 1 0
0.035132 0.5 1 0.333333 0.333333 0
0.035491 0.5 0.106145 0.666667 0.666667 0
0.030143 0.5 0.106145 0.666667 0 0
0.039357 0.5 0.106145 0.666667 1 0
0.032631 0.5 0.106145 0.666667 0.333333 0
0.034565 0.5 0.106145 1 0.666667 0
0.028456 0.5 0.106145 1 0 0
0.03892 0.5 0.106145 1 1 0
0.031262 0.5 0.106145 1 0.333333 0
0.040255 0.5 0.106145 0 0.666667 0
0.035499 0.5 0.106145 0 0 0
0.04299 0.5 0.106145 0 1 0
0.037752 0.5 0.106145 0 0.333333 0
0.037396 0.5 0.106145 0.333333 0.666667 0
0.031806 0.5 0.106145 0.333333 0 0
0.040453 0.5 0.106145 0.333333 1 0
0.034656 0.5 0.106145 0.333333 0.333333 0
0.035729 0.5 0.329609 0.666667 0.666667 0
0.030513 0.5 0.329609 0.666667 0 0
